Account,Token Account,Quantity,Percentage
ceoBXKUeHtzXBNS5RsMPnBcU9Wi7xksgjeurFQnSNdB,AVkmSzfbkTBcGjEfNvjAsuDgdMovSb6eRABjn4LW5ens,1340845.501535974,0.13
GmYzbv5i9JN3E1o9GSfr9oR5emfGicF7JFWZuX6aHkSC,GqWhX4vVMtqoGgWavBDD4VGfAf7EVmNwFB4efWJMdMqB,1312274.219717624,0.13
FLmk83nB8XE64YNZZjUeucqPLDsi2jp2NbXLjGUy9bWE,4TUmJWKWkM3PrEbuJVawjAfLjVLGrcp3PJMDm586jELG,1308098.144550229,0.13
2GoB3stoMxnw9dPYR2hrYf1gRNL6SeYaFY3VaxBukMyk,4zcUaX1YhuEoHJnDmTFzEUDBZvZSzPxy8onPaBQg2Hmk,1269970.253151294,0.13
6vpUtcDhHE4PMTiJpBJEBmZbWmpwou6n7K8vRskMPx1p,AYon67wBxpWsYspfLGMzSzvEFxcvVsfKBo23javLMpMK,1243222.292634651,0.12
5Tq3MAJoDDyRUTmorXfj9PiYRLu7WknC9HNEqsoAR12J,FUVcNoGqmiSaMiwUTJErKCMNgfy4Yr8eMUJXYqfP1BRN,1228470.552324071,0.12
63nAYp44Qzy1jNDZc3FZV1dr9WBvBS28QQeN3SZMTDNJ,6B245ao5s5TukAxMQt1zcfZnFRMZR7cuha1fkaDc9PBx,1228140.084201539,0.12
5X4sStsrFjFLCjehyXK1kk99hn2vde5z7pWvvLHcq69,3fGwqweS4LK2qe3ZvrtMZPymtxQChDSXsqXkJP4zmZ5F,1208462.464688793,0.12
HJmcUsbjviJgeAx6MfXmA8nN7cbmKJGtnfq2ecDKNvGT,8NawJRuHFXpv1fkXmYum3WjnRGgiy6T8gKZmiMSWqe8t,1190258.299824401,0.12
6L637jB5N5cRWqfGXeYYgsQXYxxqyAbdV6zhYbYCjC6o,99mcDX6TFgT3cek4CG4N3ArW3JtVA5qwoLrowaXh1Q4d,1184356.435060324,0.12
qFo3VwpLqo6uK43fCRBvszFihggAKfzBJ3zyub43Xi8,7VRTfTFY7FYaN7N8Cy2Ne1yocA4ushMNuYFHNoVrSAy2,1184275.398220671,0.12
9guaW6eqbqvQJSvq78wL247Hc7WKtCvYEQxFwuQyzR46,FCHdhTy5NCSRoSNCJTeSpEt89fhfNkwPdesEELA8goYz,1170654.50793199,0.12
8phujHM897cMMajwxSNqidhMMtGPsDU3dKudfymG3PVs,9SaHDL4cjfcFpeTzvDiFHYucs7hDgvgcQV1Hw74WBeH2,1158907.742293204,0.12
